City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Ariquemes,BR,78.51,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
276,La Paz,BO,55.38,broken clouds,-16.5,-68.15,Hotel Presidente
277,Bandarbeyla,SO,78.66,broken clouds,9.4942,50.8122,JABIR HOTEL
278,Ust-Barguzin,RU,32.86,overcast clouds,53.45,108.9833,Barguzinskiy Priboy Inn
279,Dimitrovgrad,RU,45.28,overcast clouds,54.2139,49.6184,Skazka
280,Buala,SB,80.58,light rain,-8.145,159.5921,Maringe Lagoon Lodge
281,Singaraja,ID,78.26,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
282,Wadi Maliz,TN,51.46,clear sky,36.4681,8.5495,HOPITAL
283,Tamandare,BR,79.21,few clouds,-8.7597,-35.1047,Pousada 100 Passos
284,Saint-Leu,RE,76.06,heavy intensity rain,-21.15,55.2833,La Caz Oceane
285,Clovis,US,79.03,broken clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
286,Todos Santos,MX,65.44,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
288,Umm Lajj,SA,82.45,clear sky,25.0213,37.2685,Moon light Furnished Units
289,Haapsalu,EE,30.02,clear sky,58.9431,23.5414,Fra Mare Thalasso Spa
290,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
291,Saint Anthony,US,52.34,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
292,Methoni,GR,53.46,broken clouds,36.8197,21.7049,Methoni Beach Hotel
293,Broome,US,49.6,clear sky,42.2506,-75.833,Chenango Valley State Park
294,Dillon,US,70.95,broken clouds,34.4166,-79.3712,Dillon Express Inn
297,Lompoc,US,72.79,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
298,Eagle Pass,US,89.28,few clouds,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
299,Vaitape,PF,81.93,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
301,Zambezi,ZM,66.49,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
302,Honningsvag,NO,28.15,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
303,Los Llanos De Aridane,ES,62.35,overcast clouds,28.6585,-17.9182,Valle Aridane
304,Bilma,NE,85.44,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
305,Rossano,IT,43.14,scattered clouds,39.5751,16.6349,Hotel Scigliano
306,Gilgit,PK,57.69,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
307,Franklin,US,52.81,overcast clouds,39.9667,-83.0166,Courtyard by Marriott Columbus Downtown
308,Anito,PH,77.94,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
309,Novovoronezh,RU,52.5,broken clouds,51.3072,39.2173,Novik
310,Kangaatsiaq,GL,23.31,broken clouds,68.3065,-53.4641,Nukissiorfiit
311,Kot Addu,PK,81.91,clear sky,30.4692,70.9671,Mohammad Ayub General Store
312,Newport,GB,41.25,scattered clouds,51.5877,-2.9984,ibis budget Newport
313,Mirpur Sakro,PK,77.86,clear sky,24.5474,67.6277,Ali muhammad’s house
315,Samarai,PG,81.23,overcast clouds,-10.6167,150.6667,Nuli Sapi
316,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
317,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
318,Alyangula,AU,69.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
319,Codajas,BR,75.4,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
320,Iqaluit,CA,26.33,overcast clouds,63.7506,-68.5145,Frobisher Inn
321,Ossipee,US,49.17,clear sky,43.6854,-71.1167,Ken & Denise - Slice of heaven
323,Renfrew,GB,42.53,scattered clouds,55.872,-4.3925,Normandy Hotel Glasgow
324,North Bend,US,62.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
326,Te Anau,NZ,52.05,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
327,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
328,Moree,AU,55.42,overcast clouds,-29.4667,149.85,Molika Springs Motel
329,Neuquen,AR,82.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
331,Balkhash,KZ,39.36,clear sky,46.844,74.9804,Family
332,Sitka,US,46.29,overcast clouds,57.0531,-135.33,Westmark Sitka
333,Kiboga,UG,63.68,light rain,0.9161,31.7742,Marie Lustenberger Guest House
334,El Paso,US,79.09,clear sky,31.8001,-106.2005,Desert Oasis Park MHP
